id,case_number,title,fir_id,status,case_priority,assigned_officer,officer,district,opened_at,updated_at,summary,crime_type
1,202600001,Dacoity — Tumakuru,1,under_investigation,critical,57,Chetan Achar,Tumakuru,2026-02-12 00:00:00,2026-05-27 00:00:00,Investigation into dacoity in Tumakuru. Modus operandi armed robbery. AI has linked this record to related incidents in the region.,Dacoity
2,202600002,Vehicle Theft — Tumakuru,2,under_investigation,medium,56,Suresh Murthy,Tumakuru,2026-06-08 00:00:00,2026-06-21 00:00:00,Investigation into vehicle theft in Tumakuru. Modus operandi vehicle lifting. AI has linked this record to related incidents in the region.,Vehicle Theft
3,202600001,House Theft — Belagavi,3,under_investigation,medium,30,Lokesh Naik,Belagavi,2026-06-04 00:00:00,2026-05-16 00:00:00,Investigation into house theft in Belagavi. Modus operandi lock breaking. AI has linked this record to related incidents in the region.,House Theft
4,202500001,Counterfeiting — Shivamogga,4,charge_sheeted,high,53,Riyaz Bhat,Shivamogga,2025-05-10 00:00:00,2026-06-17 00:00:00,Investigation into counterfeiting in Shivamogga. Modus operandi syndicate. AI has linked this record to related incidents in the region.,Counterfeiting
5,202600001,Burglary — Shivamogga,5,under_investigation,medium,49,Abdul Bhat,Shivamogga,2026-04-30 00:00:00,2026-06-23 00:00:00,Investigation into burglary in Shivamogga. Modus operandi lock breaking. AI has linked this record to related incidents in the region.,Burglary
6,202600001,Assault — Mysuru,6,closed,medium,8,Abdul Patil,Mysuru,2026-05-11 00:00:00,2026-06-09 00:00:00,Investigation into assault in Mysuru. Modus operandi street fight. AI has linked this record to related incidents in the region.,Assault
7,202500001,Drug Trafficking — Udupi,7,closed,high,65,Darshan Naik,Udupi,2025-12-14 00:00:00,2026-06-16 00:00:00,Investigation into drug trafficking in Udupi. Modus operandi drug courier. AI has linked this record to related incidents in the region.,Drug Trafficking
8,202500001,Cybercrime — Kalaburagi,8,registered,medium,31,Chetan Murthy,Kalaburagi,2025-06-06 00:00:00,2026-06-01 00:00:00,Investigation into cybercrime in Kalaburagi. Modus operandi fake upi link. AI has linked this record to related incidents in the region.,Cybercrime
9,202600003,Burglary — Tumakuru,9,registered,medium,55,Naveen Bhat,Tumakuru,2026-05-13 00:00:00,2026-05-28 00:00:00,Investigation into burglary in Tumakuru. Modus operandi cctv blindspot. AI has linked this record to related incidents in the region.,Burglary
10,202500001,Cheating & Fraud — Mysuru,10,charge_sheeted,low,7,Umesh Naik,Mysuru,2025-04-23 00:00:00,2026-05-18 00:00:00,Investigation into cheating & fraud in Mysuru. Modus operandi impersonation. AI has linked this record to related incidents in the region.,Cheating & Fraud
